filename,color,confidence,dominant_bgr
-1-_jpg.rf.2xskk8YhiWApOqEsCoJz.jpg,Gris,0.906,"(169, 131, 128)"
-1-_jpg.rf.3hQ5s67XcLvyctuX5kyF.jpg,Argent,0.913,"(184, 169, 162)"
-1-_jpg.rf.573ce9O2a0nMzAigIwSO.jpg,Gris,0.934,"(120, 108, 108)"
-1-_jpg.rf.6MxYjDn4C0hKVVlp3djy.jpg,Argent,0.901,"(229, 209, 206)"
-1-_jpg.rf.7DHumgVdfsjNeaZGlYsm.jpg,Gris,0.931,"(147, 116, 107)"
-1-_jpg.rf.FA66Au8W7Nv4r9foNE5I.jpg,Gris,0.934,"(120, 108, 108)"
-1-_jpg.rf.JDpwxeYm6mUoATbvL8Uv.jpg,Argent,0.881,"(189, 161, 149)"
-1-_jpg.rf.k44UYVNdNAHswJAAumLg.jpg,Gris,0.931,"(147, 116, 107)"
-1-_jpg.rf.k6SaEVqpKW9Tfh1Cedvx.jpg,Gris,0.933,"(156, 137, 126)"
-1-_jpg.rf.K8oN4G44zF7v3s4cQsgy.jpg,Gris,0.906,"(169, 131, 128)"
-1-_jpg.rf.Og4txg6l8CEiuIb15gua.jpg,Bleu,0.86,"(157, 88, 71)"
-1-_jpg.rf.OMicUoM7hh38TOzRkJ1M.jpg,Bleu,0.86,"(157, 88, 71)"
-1-_jpg.rf.PNs0D01zbX7c26MEzOjT.jpg,Gris,0.867,"(174, 119, 92)"
-1-_jpg.rf.tizHamsB0Hy0PsxZfRaQ.jpg,Gris,0.867,"(174, 119, 92)"
-1-_jpg.rf.WemJtHwK5VNWWeEuSDoL.jpg,Gris,0.933,"(156, 137, 126)"
-1-_jpg.rf.X7GwmppsRW7RT4WCftKx.jpg,Argent,0.901,"(229, 209, 206)"
-1-_jpg.rf.YOvADcCHNmQGxFtibXRq.jpg,Argent,0.913,"(184, 169, 162)"
-1-_jpg.rf.ZYLAXcG9b9rlierk2NdS.jpg,Argent,0.881,"(189, 161, 149)"
-1-jpg_aug_png_jpg.rf.71ZXbxhhqbUGjDzaZ2Cg.jpg,Marron,0.861,"(57, 51, 47)"
-1-jpg_aug_png_jpg.rf.9jWQUDLNrvxfE4wXfQRx.jpg,Gris,0.867,"(148, 96, 82)"
-1-jpg_aug_png_jpg.rf.Fkz8gMbI8uIqAC4RUlm4.jpg,Gris,0.912,"(163, 143, 134)"
-1-jpg_aug_png_jpg.rf.lJag3tSFAWpQgfByQ1ck.jpg,Gris,0.894,"(116, 96, 95)"
-1-jpg_aug_png_jpg.rf.RNle1PQmidx1AfJLybPF.jpg,Noir,0.878,"(33, 30, 29)"
-1-jpg_aug_png_jpg.rf.Vagq781kH6J25xTCR4OS.jpg,Argent,0.824,"(218, 161, 125)"
-10-_jpg.rf.08Oxxy0wxOh1O6SFRrqA.jpg,Gris,0.944,"(146, 121, 112)"
-10-_jpg.rf.EnRsPKu79mqmTKzuI5Iy.jpg,Gris,0.884,"(161, 112, 92)"
-10-_jpg.rf.QGvOMrbxidn3FREGj0Do.jpg,Gris,0.944,"(146, 121, 112)"
-10-_jpg.rf.UGoAwoDsibC8kepchMM9.jpg,Gris,0.95,"(138, 117, 111)"
-10-_jpg.rf.WrBIczp1E3TqT1zS8kon.jpg,Gris,0.95,"(138, 117, 111)"
-10-_jpg.rf.ZeOfwSRHD2BNDZWFKD4T.jpg,Gris,0.884,"(161, 112, 92)"
-10-jpg_aug_png_jpg.rf.7tiFTBJC9NwrMazeunR2.jpg,Gris,0.935,"(136, 112, 105)"
-10-jpg_aug_png_jpg.rf.nbEGC1asZmZUfFhj8xw2.jpg,Marron,0.866,"(57, 51, 49)"
-10-jpg_aug_png_jpg.rf.xQPEH3VUupAOesxkJ8Sr.jpg,Noir,0.967,"(10, 8, 6)"
-2-_jpg.rf.0RMFX4XgHwUIEhH5qQtN.jpg,Argent,0.913,"(222, 212, 205)"
-2-_jpg.rf.4Oh7kE4XeTAG0zPtNNKK.jpg,Gris,0.88,"(177, 146, 125)"
-2-_jpg.rf.9G8wZRQ13wMolS7aPRPc.jpg,Gris,0.95,"(142, 118, 114)"
-2-_jpg.rf.Af4NDMhsxKsXbX3EfuAh.jpg,Bleu,0.85,"(136, 69, 47)"
-2-_jpg.rf.B6oBq7jwjlKR2NzPgGtE.jpg,Gris,0.964,"(140, 123, 118)"
-2-_jpg.rf.BTpxSxM2dyTABiDfahIR.jpg,Gris,0.95,"(142, 118, 114)"
-2-_jpg.rf.D6YgU3s7rFp5vkBXeOTp.jpg,Argent,0.883,"(233, 218, 206)"
-2-_jpg.rf.dpGoYO7cG0JNtiQEAb7q.jpg,Gris,0.88,"(177, 146, 125)"
-2-_jpg.rf.f5zKC3kje2rG4Y7TtSDx.jpg,Gris,0.88,"(170, 130, 96)"
-2-_jpg.rf.GHGBqtSX6R5ohh5ajHFg.jpg,Gris,0.88,"(170, 130, 96)"
-2-_jpg.rf.iB6frWfkZWo5HZl3Ammd.jpg,Argent,0.883,"(233, 218, 206)"
-2-_jpg.rf.ngeRxA7v3Mgta1mU28B6.jpg,Argent,0.913,"(222, 212, 205)"
-2-_jpg.rf.OuB7vt588Qk5W1eqqWeN.jpg,Gris,0.964,"(140, 123, 118)"
-2-_jpg.rf.Pd34U0i5I38OQWuUQYM4.jpg,Argent,0.904,"(194, 170, 155)"
-2-_jpg.rf.plB6gO8b2Y2e97RzQ6lh.jpg,Gris,0.917,"(156, 122, 106)"
-2-_jpg.rf.VSgDjA4BHJ74ZskTmGVB.jpg,Bleu,0.85,"(136, 69, 47)"
-2-_jpg.rf.WOtbjBaGgR3HlDDIIobN.jpg,Gris,0.917,"(156, 122, 106)"
